"startTime";"endTime";"Wind power generation forecast - updated every 15 minutes";"Solar power generation forecast - updated every 15 minutes";"Imbalance price"
"2026-02-28T22:00:00.000Z";"2026-02-28T22:15:00.000Z";654.2;0;154.5
"2026-02-28T22:15:00.000Z";"2026-02-28T22:30:00.000Z";659.4;0;133
"2026-02-28T22:30:00.000Z";"2026-02-28T22:45:00.000Z";661.7;0;133
"2026-02-28T22:45:00.000Z";"2026-02-28T23:00:00.000Z";661.6;0;50
"2026-02-28T23:00:00.000Z";"2026-02-28T23:15:00.000Z";589.9;0;194.27
"2026-02-28T23:15:00.000Z";"2026-02-28T23:30:00.000Z";594.5;0;451.56
"2026-02-28T23:30:00.000Z";"2026-02-28T23:45:00.000Z";597.8;0;246.67
"2026-02-28T23:45:00.000Z";"2026-03-01T00:00:00.000Z";600.5;0;24
"2026-03-01T00:00:00.000Z";"2026-03-01T00:15:00.000Z";630.1;0;35
"2026-03-01T00:15:00.000Z";"2026-03-01T00:30:00.000Z";643.5;0;22.7
"2026-03-01T00:30:00.000Z";"2026-03-01T00:45:00.000Z";659.5;0;24.95
"2026-03-01T00:45:00.000Z";"2026-03-01T01:00:00.000Z";678.8;0;160
"2026-03-01T01:00:00.000Z";"2026-03-01T01:15:00.000Z";627.2;0;210
"2026-03-01T01:15:00.000Z";"2026-03-01T01:30:00.000Z";655.1;0;370
"2026-03-01T01:30:00.000Z";"2026-03-01T01:45:00.000Z";680.4;0;370
"2026-03-01T01:45:00.000Z";"2026-03-01T02:00:00.000Z";705.1;0;219
"2026-03-01T02:00:00.000Z";"2026-03-01T02:15:00.000Z";554.3;0;219
"2026-03-01T02:15:00.000Z";"2026-03-01T02:30:00.000Z";586.1;0;200
"2026-03-01T02:30:00.000Z";"2026-03-01T02:45:00.000Z";616;0;160
"2026-03-01T02:45:00.000Z";"2026-03-01T03:00:00.000Z";645;0;125
"2026-03-01T03:00:00.000Z";"2026-03-01T03:15:00.000Z";558.3;0;150
"2026-03-01T03:15:00.000Z";"2026-03-01T03:30:00.000Z";594.7;0;110
"2026-03-01T03:30:00.000Z";"2026-03-01T03:45:00.000Z";629.3;0;50
"2026-03-01T03:45:00.000Z";"2026-03-01T04:00:00.000Z";662.7;0;35
"2026-03-01T04:00:00.000Z";"2026-03-01T04:15:00.000Z";608.1;0;150
"2026-03-01T04:15:00.000Z";"2026-03-01T04:30:00.000Z";650.4;0;25
"2026-03-01T04:30:00.000Z";"2026-03-01T04:45:00.000Z";684.1;0;15
